CS1,EE1,CH1,MS1,ME1,EC1,CE1,ME2,CE2,CS2,EC2,MS2,EE2,CD2,ED2,CH2,ME3,CE3,CS3,EC3,MS3,EE3,CD3,ED3,CH3,ME4,CE4,CS4,EC4,EE4,CD4,ED4,CH4
"['CSS111', 'CSS112', 'CSD113', 'CSD114', 'CSD115', 'CSH116']","['EED111', 'EED112', 'EED113', 'EED114', 'EED115', 'EED116']","['CHS111', 'CHS112', 'CHH113', 'CHD114', 'CHD115']","['MSS111', 'MSS112', 'MSS113', 'MSD114', 'MSD115', 'MSH116', 'MSH119']","['MES111', 'MES112', 'MEH113', 'MED114', 'MED115']","['ECS111', 'ECS112', 'ECS113', 'ECD114', 'ECD115']","['CES111', 'CES112', 'CEH113', 'CED114', 'CED115']","['MES211', 'MED212', 'MED213', 'MED214', 'MED215']","['CES211', 'CED212', 'CED213', 'CED214', 'CED215', 'CED216']","['CSD211', 'CSD212', 'CSD213', 'CSD214', 'CSD215']","['ECS211', 'ECD212', 'ECD213', 'ECD214', 'ECD215', 'ECD216']","['MSS211', 'MSD212', 'MSD213', 'MSD214', 'MSD215', 'MSD216', 'MSD217']","['EES211', 'EED212', 'EED213', 'EED214', 'EED215', 'EED216']","['CSSD210', 'CSDD211', 'CSDD212', 'CSDD213', 'CSDD214', 'CSDD215']","['ECSD211', 'ECDD212', 'ECDD213', 'ECDD214', 'ECDD215', 'ECDD216']","['CHD211', 'CHD212', 'CHD213', 'CHD214', 'CHD215', 'CHD216']","['MED311', 'MED312', 'MED313', 'MED314', 'MED315']","['CED311', 'CED312', 'CED313', 'CED314', 'CED315']","['CSD311', 'CSD312', 'CSD313', 'CSD314', 'CSD315']","['ECD311', 'ECD312', 'ECD313', 'ECD314', 'ECD315']","['MSD311', 'MSD312', 'MSD313', 'MSD314', 'MSD315', 'MSD316']","['EED311', 'EED312', 'EED313', 'EED314', 'EED315']","['CSDD311', 'CSDD312', 'CSDD313', 'CSDD314', 'CSDD315']","['ECDD311', 'ECDD312', 'ECDD313', 'ECDD314', 'ECDD315']","['CHD311', 'CHD312', 'CHD313', 'CHD314', 'CHD315']","['MED411', 'MED412', 'MED413', 'MEE414a', 'MEE414b', 'MEE415a', 'MEE415b']","['CED411', 'CED412', 'CED413', 'CED414a', 'CED415b']","['CSD410', 'CSD411', 'CSD412', 'CSD413', 'CSD414']","['ECH411', 'ECD412', 'ECD413', 'ECE414a', 'ECE415a']","['EED411', 'EED412', 'EED413', 'EED414', 'EED415']","['CSD713', 'CSD716', 'CSD600', 'CSDD410', 'CSDD411', 'CSDD412']","['ECD677', 'ECD609', 'ECD675', 'ECHD411', 'ECDD412', 'ECDD413']","['CHD411', 'CHD412', 'CHD413', 'CHE414a', 'CHE414c', 'CHE415a']"
"['CSD117', 'CSD118', 'CSD119']","['EED118', 'EED117']","['CHS116', 'CHH117']","['MSS117', 'MSD118']","['MES116', 'MEH117', 'MED118']","['ECS116', 'ECD117', 'ECD118']","['CEH117', 'CED118']","['MED216', 'MED217', 'MED218', 'MED219']","['CED210', 'CED217', 'CED218', 'CED219']","['CSD216', 'CSD217', 'CSD218', 'CSD219']","['ECD217', 'ECD218', 'ECD219', 'ECD210']","['MSD218', 'MSD219']","['EED217', 'EED218', 'EED219', 'EED210']","['CSDD216', 'CSDD217', 'CSDD218', 'CSDD219']","['ECDD217', 'ECDD218', 'ECDD219', 'ECDD210']","['CHD217', 'CHD218', 'CHD219']","['MED317', 'MED318', 'MED319']","['CED317', 'CED318', 'CED319']","['CSD317', 'CSD318', 'CSD319']","['ECD317', 'ECD318', 'ECD319']","['MSD318', 'MSD319']","['EED317', 'EED318', 'EED319']","['CSDD317', 'CSDD318', 'CSDD319']","['ECDD317', 'ECDD318', 'ECDD319']","['CHD317', 'CHD318', 'CHD319']","['MED417', 'MED418']","['CED416', 'CED417', 'CED418']","['CSD415', 'CSD416', 'CSD417']","['ECD417', 'ECD418', 'ECD419']","['EED417', 'EED418']","['CSDD415', 'CSDD416']","['ECDD417', 'ECDD418', 'ECDD419']","['CHD416', 'CHD417', 'CHD418', 'CHD419']"
